# Feb 15 17:01 NGC1068_final_skysub[260:262,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4879.963  586.5492   1926.37    -3.284   1117.59     1.619        0.
# Feb 15 17:01 NGC1068_final_skysub[261:263,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4879.929  530.8519    2142.2    -4.035    1357.2     1.483        0.
# Feb 15 17:01 NGC1068_final_skysub[262:264,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4879.939  460.9951   2216.38    -4.808   1515.04     1.374        0.
# Feb 15 17:01 NGC1068_final_skysub[263:265,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4879.926  383.3711   2113.86    -5.514   1519.15     1.307        0.
# Feb 15 17:01 NGC1068_final_skysub[264:266,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4879.889  311.7785   1876.77     -6.02   1258.46     1.401        0.
# Feb 15 17:01 NGC1068_final_skysub[265:267,*]: NGC1068
# Nfit=1, background=yes, positions=all, gfwhm=all, lfwhm=all
#   center      cont      flux       eqw      core     gfwhm     lfwhm
  4879.878  266.1108   1477.53    -5.552   981.087     1.415        0.
# Feb 15 17:01 NGC1068_final_skysub[266:268,*]: NGC1068
